theme_name,discussion_id,challenge,confidence_score,justification,multi_theme_mapped
Unknown/Unclear,20628,"The parents of the children said that as soon as my children leave for school, they start playing on the way, hence they are unable to go to school.",0.85,"This challenge describes children playing on the way to school rather than attending, which does not fit into any of the defined themes (1-10). It represents a behavioral issue not covered by the classification framework.",FALSE
Poverty and Economic Barriers,5019,Poverty hinders the education of girls,1,"The challenge explicitly mentions 'poverty' as the barrier affecting girls' education, which directly aligns with Theme 1 focusing on financial hardship and economic constraints.",FALSE
Early Marriage,5019,Girls are not allowed to study because of child marriage,1,"The challenge explicitly states 'child marriage' as the reason girls are prevented from studying, which directly corresponds to Theme 3 addressing early marriage as an educational barrier.",FALSE
School Infrastructure and Facility Issues,4946,"The condition of going to school is very bad. Scholarships are not being given, so people are not sending their children to study.",0.85,"The phrase 'Scholarships are not being given' indicates delays or limited access to government schemes, which falls under systemic gaps in school infrastructure and facility issues.",FALSE
Teacher Capacity and Quality Issues,4946,Teachers in school are not able to understand the children properly and are scolding them a lot.,0.9,"The statement 'Teachers are not able to understand the children properly and are scolding them' highlights gaps in teaching quality and pedagogy, which directly relates to teacher capacity issues.",FALSE
Teacher Capacity and Quality Issues,4946,"Children are not able to study properly in school, so people are not sending them to school and asking them to do household chores",0.75,"The phrase 'Children are not able to study properly in school' suggests poor quality of education and teaching, which affects children's learning progress and motivation to attend.",TRUE
Poverty and Economic Barriers,4946,"Children are not able to study properly in school, so people are not sending them to school and asking them to do household chores",0.75,"The statement 'asking them to do household chores' indicates that children are being prioritized for domestic work over education, which is linked to economic constraints and poverty.",TRUE
Poverty and Economic Barriers,4946,"And since our boy is not getting any scholarship, we don't have money to pay the tuition fees, so we are not able to educate him.",0.95,"The phrases 'don't have money to pay the tuition fees' and 'not able to educate him' clearly indicate financial hardship preventing school attendance, which is a core poverty and economic barrier.",FALSE
Poverty and Economic Barriers,21206,"Due to poverty, girls are deprived of education.",1,"The challenge explicitly mentions 'poverty' as the reason girls are deprived of education, which directly aligns with Theme 1 describing how financial hardship creates barriers to schooling.",FALSE
Unknown/Unclear,21211,Boys and girls rarely attend school.,0.9,"The statement mentions irregular attendance but does not specify any particular barrier or reason why boys and girls rarely attend school, making it too vague to classify into any specific theme.",FALSE
Legal Document linked Barriers,21722,Could not pursue further studies due to Aadhar card problem,1,"The challenge explicitly mentions 'Aadhar card problem' as the reason for not pursuing further studies, which directly aligns with Theme 2 that covers missing or incomplete legal documents preventing school enrollment or continuation.",FALSE
Distance and Accessibility Issues,5040,Children are unable to go to school because it is far away,1,"The phrase 'school because it is far away' directly indicates that physical distance is preventing children from attending school, which is a core example of accessibility barriers.",FALSE
Poverty and Economic Barriers,5040,Due to economic condition,0.9,"The phrase 'economic condition' clearly refers to financial hardship affecting education, which aligns with poverty and economic barriers even though the statement is brief.",FALSE
Substance Abuse and Addiction,5069,"Children from Musahar colony, from fifth to eighth standard, stay at home and get spoiled because of mobile phones.",0.85,"The challenge explicitly mentions children staying at home and getting spoiled due to mobile phones, which aligns with addiction issues affecting education as described in Theme 9 examples about mobile phone usage and online games.",FALSE
Poverty and Economic Barriers,5069,Children are working in MNREGA instead of attending school.,0.9,"The statement describes children engaged in MNREGA work instead of attending school, indicating economic necessity forcing children to prioritize work over education, which is a core characteristic of poverty and economic barriers.",FALSE
Distance and Accessibility Issues,5032,Children have left school after completing fifth grade,0.65,"The statement indicates children dropping out after fifth grade, which commonly occurs when secondary schools are located far from the village, requiring them to travel longer distances that families cannot manage.",FALSE
Poverty and Economic Barriers,5032,Due to economic condition,0.95,"The phrase 'economic condition' clearly refers to financial hardship affecting education, which is the defining characteristic of Theme 1.",FALSE
Legal Document linked Barriers,5078,A mother of a child was told that our child does not have an Aadhaar card and hence he is not getting admission in the school,1,"The challenge explicitly mentions that the child is not getting admission due to lack of an Aadhaar card, which is a legal documentation barrier preventing school enrollment.",FALSE
School Infrastructure and Facility Issues,5078,The child was not getting the money for his dress from school,0.85,"The statement refers to non-receipt of funds for school dress/uniform, which relates to government scheme benefits and school provisions not being delivered properly.",FALSE
Unknown/Unclear,5078,"It was said there that abusing in the village is not right, it should be made",0.6,The statement is unclear and grammatically ambiguous. It does not clearly articulate a specific educational barrier and cannot be reasonably interpreted to fit any defined theme.,FALSE
Distance and Accessibility Issues,5092,Boys leave their higher education after completing primary education due to the distance of the middle school.,0.95,"The challenge explicitly mentions 'distance of the middle school' as the reason for boys leaving education after primary level, which directly relates to physical accessibility barriers.",FALSE
Poverty and Economic Barriers,5092,Girls are not educated because they are poor and not sent to school.,0.9,"The challenge explicitly states 'they are poor' as the reason girls are not sent to school, directly indicating financial hardship as the primary barrier to education.",FALSE
Poverty and Economic Barriers,5053,Mamta Kumari left her studies after 8th standard due to poverty.,0.95,"The statement explicitly mentions 'due to poverty' as the reason for leaving studies, which directly aligns with Theme 1. The challenge contains the personal name 'Mamta Kumari' which is PII.",FALSE
Parental Attitudes and Socio-Cultural Barriers,20634,"Children spend the entire day playing and jumping around, often falling into bad company. One child is playing and another child watches and does the same. Even the parents of Mahadalit children don't pay attention. When they were asked about education, they agreed to send them to school.",0.85,"The statement mentions 'parents of Mahadalit children don't pay attention' to education, indicating parental attitudes and lack of prioritization of schooling. The phrase 'when they were asked about education, they agreed to send them to school' suggests parents were not previously engaged with their children's education due to mindset or cultural factors.",FALSE
Early Marriage,5053,A 14-year-old girl left class 10th because her marriage was fixed.,0.98,"The statement clearly indicates that 'marriage was fixed' caused the girl to leave school, which directly corresponds to Theme 3 addressing early marriage as a barrier to education.",FALSE
Distance and Accessibility Issues,5087,The school is very far away and children are unable to go there.,1,"The statement explicitly mentions 'school is very far away' and children being 'unable to go there', which directly indicates distance as a barrier to school attendance.",FALSE
School Infrastructure and Facility Issues,5087,There were no study facilities for small children.,0.9,"The phrase 'no study facilities' indicates a lack of learning resources and infrastructure, which falls under school facility gaps affecting children's education.",FALSE
Unknown/Unclear,21221,Girls are not getting the facility to go to school.,0.85,"The statement is vague and non-specific, using the generic phrase 'facility to go to school' without identifying what specific barrier prevents girls from attending (e.g., infrastructure, distance, safety, cultural attitudes). This lacks actionable specifics about the nature of the challenge.",FALSE
Poverty and Economic Barriers,5086,Economic situation,0.85,"The phrase 'Economic situation' directly refers to financial circumstances that affect families' ability to support children's education, which aligns with poverty and economic barriers.",FALSE
Unknown/Unclear,5086,The mother cares,0.6,"The statement 'The mother cares' is ambiguous and does not clearly describe an educational barrier. It's unclear whether this refers to a mother caring too much, not caring, or caring about something specific that affects education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,5086,Not giving importance to education,0.9,"The phrase 'Not giving importance to education' reflects parental beliefs and attitudes that devalue education, which is a core aspect of socio-cultural barriers affecting children's schooling.",FALSE
Unknown/Unclear,21720,"Almost all the children in the community go, some of them are unable to go.",0.95,"This statement is vague and non-specific, mentioning that 'some are unable to go' without identifying any specific barrier or reason for non-attendance.",FALSE
Poverty and Economic Barriers,5100,Workload due to poverty.,0.95,"The phrase 'workload due to poverty' directly indicates that economic hardship forces children to prioritize work over education, which aligns with Theme 1 examples describing how poverty forces children into labor.",FALSE
Poverty and Economic Barriers,5122,Poverty is a significant challenge affecting children's education.,1,"The statement explicitly mentions 'poverty' as a challenge affecting children's education, which directly aligns with Theme 1 focusing on economic hardship as a barrier to schooling.",FALSE
Poverty and Economic Barriers,5122,Children often do not attend school regularly due to being engaged in household chores.,0.85,"The statement describes children prioritizing household work over education, which fits Theme 1's definition of how poverty forces children to prioritize work over schooling and how households depend on children's labor.",FALSE
Unknown/Unclear,22073,"Nisha Kumari has left her studies till class 4 and now she does not want to go to school, no matter how much her parents try to convince her and send her, she still does not go.",0.85,"The statement contains a personal name 'Nisha Kumari' which is PII. While it mentions school dropout, it does not specify any clear barrier from the defined themes - it only states the child doesn't want to go without explaining the underlying reason (poverty, distance, safety, etc.).",FALSE
Poverty and Economic Barriers,5098,Girls who do not have a father are unable to study due to lack of money.,0.95,"The challenge explicitly mentions 'unable to study due to lack of money', which directly indicates financial hardship preventing education access.",FALSE
Unknown/Unclear,5098,Ladies are seeking employment for themselves.,0.85,This statement does not describe an educational barrier affecting children's schooling; it mentions adult women seeking employment without any clear connection to children's education challenges.,FALSE
Poverty and Economic Barriers,5098,Girls are unable to study due to lack of money and no means to study at home.,0.95,"The challenge explicitly states 'lack of money' and 'no means to study', both indicating financial constraints and resource limitations that prevent educational access.",FALSE
School Infrastructure and Facility Issues,5147,Due to lack of information about poverty and government subsidies,0.75,"The phrase 'lack of information about government subsidies' indicates that families are not receiving or accessing government schemes and benefits, which falls under systemic gaps in scheme implementation and access.",FALSE
Distance and Accessibility Issues,5095,One challenge the community faces is that children do not want to go to school because of the distance from their homes.,0.95,"The challenge explicitly mentions 'distance from their homes' as the reason children do not want to attend school, which directly relates to physical accessibility barriers.",FALSE
Poverty and Economic Barriers,5095,"Some community members prefer to do household chores, such as cutting grass for the goats, rather than send their children to school.",0.85,"The statement describes children being kept from school to perform household labor ('cutting grass for the goats'), indicating economic necessity where children's work is prioritized over education.",FALSE
Poverty and Economic Barriers,20646,Unable to study due to poverty,1,"The challenge explicitly mentions 'poverty' as the direct reason preventing children from studying, which aligns with Theme 1's definition of financial hardship creating barriers to schooling.",FALSE
Poverty and Economic Barriers,5105,Shortage of money,0.95,"The phrase 'Shortage of money' directly indicates financial hardship affecting education, which aligns with poverty and economic barriers that prevent families from supporting children's schooling.",FALSE
Poverty and Economic Barriers,5105,charging higher fees,0.9,"The statement 'charging higher fees' refers to financial burden that creates barriers to education access, directly relating to economic constraints families face in affording schooling costs.",FALSE
School Infrastructure and Facility Issues,21206,Lack of cleanliness in school toilets deprives girls of education.,0.95,"The challenge mentions 'lack of cleanliness in school toilets' which is a sanitation and infrastructure issue, fitting Theme 6 that includes inadequate school facilities and sanitation problems.",FALSE
Poverty and Economic Barriers,5137,Economic problems,0.95,"The phrase 'Economic problems' directly indicates financial hardship affecting education, which aligns with Theme 1 covering poverty and economic barriers to schooling.",FALSE
Poverty and Economic Barriers,5158,Girls do not go to high school due to poverty and also for tuition,0.95,"The challenge explicitly mentions 'poverty' as a barrier preventing girls from attending high school, and references inability to afford 'tuition', both indicating financial hardship affecting education access.",FALSE
Parental Attitudes and Socio-Cultural Barriers,5158,Girls also do not go to school due to social problems like uneducated people,0.85,"The statement references 'social problems' and 'uneducated people' as barriers, indicating socio-cultural factors and parental/community attitudes shaped by lack of education that discourage girls' schooling.",FALSE
Unknown/Unclear,5133,"Everyone was told about the Ksha today, Chinkdiya about the number mantra",0.9,"The text appears to be fragmented or poorly translated and does not clearly describe any identifiable educational barrier. The phrases 'Ksha', 'Chinkdiya', and 'number mantra' do not provide sufficient context to classify into any specific educational challenge theme.",FALSE
Unknown/Unclear,5146,Education,0.95,The single word 'Education' does not describe any specific barrier or challenge affecting children's education. It is too vague to classify into any meaningful theme without additional context.,FALSE
Parental Attitudes and Socio-Cultural Barriers,5155,She does not want to study because of the environment and runs away because of the lack of education,0.75,"The phrase 'runs away because of the lack of education' aligns with parental fears about girls running away, which is explicitly mentioned in Theme 5 examples such as 'Girls leave their studies and run away. Due to this fear, parents are unable to provide higher education to their daughters.'",FALSE
Poverty and Economic Barriers,5155,"Due to lack of information, the poor do not want to study",0.85,"The statement explicitly mentions 'the poor' as the affected group, directly linking economic status to educational barriers, which is the core definition of Theme 1.",FALSE
Distance and Accessibility Issues,21211,Children are unable to go to school because the school is too far away.,1,"The statement explicitly mentions 'school is too far away' as the barrier preventing children from attending, which directly aligns with distance-related accessibility challenges.",FALSE
Unknown/Unclear,5177,About education,0.95,The phrase 'About education' is too vague and does not describe any specific educational barrier or challenge. It lacks sufficient context to classify into any meaningful theme.,FALSE
Unknown/Unclear,5200,education was informed about,0.95,This fragment is incomplete and does not describe any identifiable educational barrier. The phrase lacks sufficient context to determine what challenge is being referenced.,FALSE
Legal Document linked Barriers,5182,"Manisha Kumari, Selini Kumari, Sonakshi were facing difficulty in going to school due to non-availability of Aadhaar cards.",1,"The statement explicitly mentions 'non-availability of Aadhaar cards' preventing school attendance, which directly aligns with legal documentation barriers. Contains personal names (Manisha Kumari, Selini Kumari, Sonakshi).",FALSE
Poverty and Economic Barriers,5182,A girl named Meenakshi left her studies after studying till 8th standard due to financial crisis.,1,"The statement clearly indicates 'financial crisis' as the reason for dropout, which is a core indicator of poverty and economic barriers affecting education. Contains personal name (Meenakshi).",FALSE
School Infrastructure and Facility Issues,5184,The school faces a drainage issue due to a nearby stream.,0.85,"The statement describes a drainage problem at the school caused by a nearby stream, which is an infrastructure and facility issue affecting the school environment.",FALSE
Legal Document linked Barriers,5184,There is an issue with some students not having an Aadhaar card.,0.95,"The statement explicitly mentions students lacking Aadhaar cards, which is a legal documentation barrier that prevents enrollment or creates administrative hurdles in the education system.",FALSE
Distance and Accessibility Issues,5232,"The school is far, which affects student attendance.",1,"The challenge explicitly mentions 'school is far' which directly relates to physical distance barriers preventing regular school attendance, a core element of Theme 4.",FALSE
Poverty and Economic Barriers,5174,Poverty is a significant challenge in the community.,0.95,"The statement explicitly mentions 'poverty' as a challenge affecting the community, which directly aligns with Theme 1 focusing on economic hardship as a barrier to education.",FALSE
Unknown/Unclear,21720,Reasons for some children not having Aadhaar cards,0.9,"This is a vague fragment starting with 'Reasons for...' that does not specify what the actual barrier is or how it affects education, only mentions the topic without detail.",FALSE
Legal Document linked Barriers,22341,"Due to their work, parents are not able to get Aadhar card made for their children.",0.95,"The challenge specifically mentions inability to obtain Aadhaar cards for children, which is a legal documentation barrier preventing school enrollment as defined in Theme 2.",FALSE
Legal Document linked Barriers,5174,"Aadhar card of children and parents in the community is not made, causing difficulties.",0.95,"The challenge explicitly mentions missing 'Aadhar card' which creates administrative difficulties, directly matching Theme 2's focus on lack of legal documentation preventing school enrollment.",FALSE
Poverty and Economic Barriers,5332,Poverty and poor school facilities,0.9,The challenge mentions 'poverty' which directly relates to economic hardship affecting education.,TRUE
Distance and Accessibility Issues,20644,Girls face difficulties in pursuing education outside the village.,0.85,"The phrase 'pursuing education outside the village' indicates that educational facilities are not available within the village, requiring girls to travel outside, which represents a distance and accessibility barrier.",FALSE
Legal Document linked Barriers,5174,Children are deprived of going to school because of lack of birth certificate and Aadhar card.,0.95,"The statement explicitly mentions 'lack of birth certificate and Aadhar card' preventing school attendance, which directly aligns with Theme 2 focusing on missing legal documents as enrollment barriers.",FALSE
Poverty and Economic Barriers,5237,I am unable to complete my studies due to lack of money,0.95,"The statement explicitly mentions 'lack of money' as the barrier preventing completion of studies, which directly aligns with financial hardship and limited resources preventing education.",FALSE
Distance and Accessibility Issues,5237,Children are not able to go to school because the school is far away,0.98,"The statement clearly identifies 'school is far away' as the reason children cannot attend, which directly corresponds to physical distance barriers affecting school attendance.",FALSE
Distance and Accessibility Issues,5178,"Due to the school being far away, girls are deprived of going to school, are not able to study properly and there remains a fear of molestation.",0.95,"The challenge explicitly mentions 'school being far away' which prevents girls from attending school, directly aligning with distance and accessibility barriers.",TRUE
Safety Concerns,5178,"Due to the school being far away, girls are deprived of going to school, are not able to study properly and there remains a fear of molestation.",0.95,The statement includes 'fear of molestation' which is a safety concern affecting girls' school attendance and represents a distinct barrier from distance.,TRUE
Poverty and Economic Barriers,5178,She is dropping out of school because of her financial situation.,0.95,"The challenge directly attributes school dropout to 'financial situation', which clearly indicates poverty and economic barriers preventing education.",FALSE
School Infrastructure and Facility Issues,5178,There is a demand for a school for girls' education in the village.,0.85,"The demand for a school indicates absence or inadequacy of educational infrastructure in the village, representing a systemic gap in school facilities.",FALSE
Poverty and Economic Barriers,5216,Admission was not possible due to lack of money.,0.95,"The statement explicitly mentions 'lack of money' preventing admission, which directly indicates financial hardship as a barrier to education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,5216,The mother did not want her children to study.,0.9,"The statement describes parental attitude where the mother 'did not want her children to study', reflecting parental beliefs that discourage education.",FALSE
Poverty and Economic Barriers,5216,"Due to work, many women wanted their daughter-in-law to study but due to lack of money she was not able to study.",0.85,"The core barrier mentioned is 'lack of money' which prevented the daughter-in-law from studying, despite the family's willingness, indicating economic constraints as the primary obstacle.",FALSE
Parental Attitudes and Socio-Cultural Barriers,21206,"Due to the pressure of household work, girls are deprived of education.",0.9,"The challenge refers to 'pressure of household work' on girls, which reflects socio-cultural norms that prioritize domestic roles for girls over education, aligning with Theme 5.",FALSE
Distance and Accessibility Issues,5215,"Because there is no school in the village, children go to school in another village",0.95,"The statement mentions 'no school in the village' and children having to 'go to school in another village', which directly indicates distance and accessibility barriers to education.",FALSE
Distance and Accessibility Issues,5215,Children have problems getting around,0.85,"The phrase 'problems getting around' indicates transportation or mobility challenges that prevent children from reaching school, which aligns with distance and accessibility barriers.",FALSE
Legal Document linked Barriers,5242,Girls of class 5 and 7 don't have TC,0.95,"The statement mentions lack of TC (Transfer Certificate), which is a legal document required for school enrollment and continuation, creating an administrative barrier to education.",FALSE
Teacher Capacity and Quality Issues,5242,Girls are weak in studies,0.75,"The phrase 'weak in studies' indicates children's learning progress challenges, which relates to teaching quality and educational outcomes as mentioned in Theme 7 examples.",FALSE
Distance and Accessibility Issues,5248,One of the challenges the community reported is the distance of the school from their location.,1,The challenge explicitly mentions 'distance of the school from their location' which directly relates to physical accessibility barriers preventing children from attending school.,FALSE
Legal Document linked Barriers,5248,The community also cited the issue of not having an Aadhaar card as a challenge.,1,The statement specifically mentions 'not having an Aadhaar card' which is a legal documentation barrier that prevents school enrollment and access to education.,FALSE
Poverty and Economic Barriers,5248,The community said that their economic situation is also a challenge.,1,The phrase 'economic situation is also a challenge' directly indicates financial hardship and poverty as a barrier to education.,FALSE
Early Marriage,5231,I want the girl to pass her BA and then get married.,0.65,"The statement links marriage timing to educational completion (BA degree), indicating that marriage is a consideration that could potentially affect the girl's education, though in this case the parent wants education completed first.",FALSE
Legal Document linked Barriers,5231,Making Aadhar Card,0.95,"The phrase 'Making Aadhar Card' directly references the need for legal documentation (Aadhaar card), which is a common administrative requirement for school enrollment.",FALSE
Unknown/Unclear,21211,Children don't want to study,0.85,"This statement only describes a symptom (lack of motivation) without identifying any specific underlying barrier or reason, making it too vague to classify into any defined theme.",FALSE
Unknown/Unclear,5282,Education,0.95,The single word 'Education' does not describe any specific barrier or challenge affecting children's education. It is too vague to classify into any meaningful theme without additional context.,FALSE
Poverty and Economic Barriers,5246,I left the number because my brother did not give me money.,0.85,"The statement indicates that the child left school because their brother did not provide money, which directly relates to financial hardship and inability to afford education expenses.",FALSE
Poverty and Economic Barriers,21720,"Due to poverty, parents of some children force them to do child labour.",1,"The statement explicitly mentions 'poverty' as the cause forcing children into 'child labour', which directly aligns with economic hardship preventing school attendance.",FALSE
Unknown/Unclear,5265,1 left school,0.9,Too short (3 words) without sufficient context,FALSE
Poverty and Economic Barriers,5278,Children are deprived of education due to poverty,1,"The statement explicitly mentions 'poverty' as the direct cause preventing children from accessing education, which aligns with Theme 1's definition of financial hardship creating barriers to schooling.",FALSE
Poverty and Economic Barriers,20643,The community faces poverty which affects children's education.,0.95,"The statement explicitly mentions 'poverty' as the barrier affecting children's education, which directly aligns with Theme 1 focusing on financial hardship and economic constraints.",FALSE
Poverty and Economic Barriers,5252,Some children are not able to go to school because of their weak base and some are not able to go because of their financial condition.,0.9,"The phrase 'financial condition' directly indicates economic barriers preventing children from attending school, which aligns with poverty-related challenges.",TRUE
Poverty and Economic Barriers,21213,"Poverty hinders girls' education as they are often made to herd goats, and their mothers, who are sometimes widows, work in the fields to support their children, making it difficult for girls to attend school regularly.",0.95,"The challenge explicitly mentions 'poverty hinders girls' education' and describes how economic hardship forces children to prioritize work (herding goats) over education, with families depending on children's labor for survival.",FALSE
Legal Document linked Barriers,5252,"Due to lack of birth certificate, they are not getting admission and due to this they are not able to go to school.",1,"The statement explicitly mentions 'lack of birth certificate' preventing school admission, which is a clear legal documentation barrier.",FALSE
Legal Document linked Barriers,5252,"Admission is not being done due to mismatch in date of birth on birth certificate and Aadhar card, due to which they are not able to go to school.",1,The challenge describes a documentation issue with 'mismatch in date of birth on birth certificate and Aadhar card' creating administrative hurdles for school enrollment.,FALSE
Unknown/Unclear,5303,The teenage girl has left her studies while there is discussion about sending the child to the complex.,0.6,The statement is ambiguous and unclear about what 'complex' refers to and why the girl left studies. The connection between leaving studies and discussion about sending a child to a complex is not interpretable as a clear educational barrier.,FALSE
Poverty and Economic Barriers,5303,I left my studies due to lack of money,1,"The phrase 'lack of money' directly indicates financial hardship as the reason for leaving studies, which clearly falls under poverty and economic barriers to education.",FALSE
Distance and Accessibility Issues,5279,"Since there were schools up to class five, children studied up to class five.",0.85,"The statement indicates that children's education is limited because schools only exist up to class five, implying lack of accessible schools for higher grades. This represents an accessibility barrier to continued education.",FALSE
Legal Document linked Barriers,5279,The girl's Aadhaar card could not be made because her parents are not alive,0.95,"The challenge explicitly mentions inability to obtain an Aadhaar card, which is a legal documentation barrier. The phrase 'Aadhaar card could not be made' directly indicates a documentation issue preventing school enrollment.",FALSE
Poverty and Economic Barriers,5285,Suraj Kumar left his class after studying in 8th class due to poor people. Father Ram Sagar is thousand.,0.85,The statement mentions 'due to poor people' which indicates poverty as the reason for dropout. Contains PII: student name 'Suraj Kumar' and father's name 'Ram Sagar'.,FALSE
Poverty and Economic Barriers,5285,Anjali Kumari left her class after studying in 5th class due to poor people.,0.85,The phrase 'due to poor people' indicates economic hardship as the cause of dropout. Contains PII: student name 'Anjali Kumari'.,FALSE
Poverty and Economic Barriers,5285,Asha Kumari left her class after studying in 5th class due to poor people.,0.85,The statement indicates 'due to poor people' which refers to poverty causing the student to leave school. Contains PII: student name 'Asha Kumari'.,FALSE
Poverty and Economic Barriers,5321,"Their parents take them to the kiln to make them work, so the child is unable to go to study.",0.95,"The statement describes children being taken to work at a kiln instead of attending school, indicating that families depend on children's labor for survival due to economic hardship, which is a core indicator of poverty-related barriers to education.",FALSE
Poverty and Economic Barriers,5321,Many girls are unable to go to school due to poverty,1,"The statement explicitly mentions 'poverty' as the direct cause preventing girls from attending school, which clearly falls under economic barriers to education.",FALSE
Poverty and Economic Barriers,5310,Children could not go to school due to domestic work,0.95,"The statement describes children being unable to attend school because they are engaged in domestic work, which aligns with the theme's definition of poverty forcing children to prioritize work over education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,5326,"Doing housework is not valued or compensated, which might affect children's education.",0.85,"The statement reflects socio-cultural attitudes that prioritize domestic work over education, indicating a mindset where household responsibilities are expected from children without recognition of their educational needs. This aligns with cultural norms that limit children's learning opportunities.",FALSE
Distance and Accessibility Issues,5284,The child is saying that he has to walk because he does not have money to buy a bicycle,0.75,"The challenge mentions 'has to walk' due to lack of bicycle, indicating transportation and accessibility barriers to reaching school.",TRUE
Poverty and Economic Barriers,5284,The child is saying that he has to walk because he does not have money to buy a bicycle,0.85,The phrase 'does not have money to buy a bicycle' directly indicates financial constraints affecting the child's ability to access transportation for education.,TRUE
Poverty and Economic Barriers,5284,"He withdrew his children from studies after Class 10, saying he was short of money",0.95,"The statement explicitly mentions 'short of money' as the reason for withdrawing children from studies, clearly indicating economic hardship as a barrier to continued education.",FALSE
Poverty and Economic Barriers,5284,The woman is saying that her second child has passed intermediate and the third child is studying in class 9. She is not getting money for a bicycle.,0.85,The phrase 'not getting money for a bicycle' indicates financial constraints preventing the family from affording transportation resources needed for education.,TRUE
Distance and Accessibility Issues,5284,The woman is saying that her second child has passed intermediate and the third child is studying in class 9. She is not getting money for a bicycle.,0.75,"The need for a bicycle implies transportation challenges and accessibility issues in reaching school, which is a distance-related barrier.",TRUE
Parental Attitudes and Socio-Cultural Barriers,21729,Disruption in education due to household chores,0.85,"The challenge mentions 'household chores' disrupting education, which reflects socio-cultural norms and family expectations that prioritize domestic work over schooling, particularly affecting girls.",FALSE
Poverty and Economic Barriers,5316,माता-पिता का कहना है कि उन्हें पढ़ाने के लिए पैसे नहीं हैं क्योंकि उनके पास कोई पेशा नहीं है,0.95,"The statement clearly indicates that parents say they don't have money to educate their children because they have no profession/occupation. This directly relates to financial hardship and unemployment affecting children's education, which are key indicators of poverty and economic barriers.",FALSE
Poverty and Economic Barriers,5332,His parents said that we are poor so we cannot afford the education of our children,1,"The statement explicitly mentions being 'poor' and inability to 'afford the education', which directly describes financial hardship as a barrier to schooling.",FALSE
School Infrastructure and Facility Issues,5347,The kids haven't received the required amount,0.65,"The phrase 'haven't received the required amount' suggests non-delivery or inadequate provision of resources, benefits, or entitlements, which aligns with gaps in government schemes or resource distribution covered under school infrastructure and facility issues.",FALSE
Legal Document linked Barriers,5360,The community shared that there's an issue with Aadhar cards.,0.95,"The statement explicitly mentions 'issue with Aadhar cards,' which directly relates to missing or incomplete legal documentation that creates barriers to school enrollment.",FALSE
Unknown/Unclear,5381,The community shared that they would teach the children.,0.85,This statement describes a positive intention or action by the community rather than an educational barrier or challenge. It does not identify any obstacle preventing children from accessing or continuing education.,FALSE
Other Factors,20643,There is a lack of understanding among community members regarding the importance of education.,0.9,"The statement describes 'lack of understanding' and awareness 'regarding the importance of education' among community members, which fits Theme 10's definition of awareness-related issues affecting education.",FALSE
Poverty and Economic Barriers,5354,Parents have more children so they don't want their own children to go to school,0.75,"The phrase 'parents have more children' suggests economic strain from large family size, leading to prioritization decisions where education is deprioritized, likely due to resource constraints typical of poverty-related barriers.",FALSE
Distance and Accessibility Issues,5390,"The women were saying that when children are sent to school, they go to play but because it is far away, girls are not able to go every day.",0.85,"The statement explicitly mentions 'it is far away' as the reason girls are not able to go to school every day, which directly relates to distance barriers affecting school attendance.",FALSE
Unknown/Unclear,21213,"Girls are weak in studies because they do not attend school regularly, which results in poor academic performance.",0.85,"This statement describes a symptom (weak in studies, irregular attendance, poor performance) but does not specify the underlying barrier or reason causing the irregular attendance. Without identifying the root cause, it cannot be classified into any specific theme.",FALSE
Teacher Capacity and Quality Issues,5348,Some schools do not have female teachers due to which girls do not get inspiration and safe environment,0.85,"The statement mentions 'schools do not have female teachers' which directly relates to teacher availability and staffing gaps, a core aspect of teacher capacity issues affecting the learning environment.",FALSE
Poverty and Economic Barriers,5348,"Economic constraints force families to involve girls in household chores or labor, hindering their education.",0.95,"The phrase 'economic constraints force families to involve girls in household chores or labor' clearly indicates financial hardship causing children to prioritize work over education, which is the defining characteristic of poverty and economic barriers.",FALSE
Poverty and Economic Barriers,5369,The poor kids are unable to go and are ready,0.65,"The phrase 'poor kids are unable to go' indicates economic hardship preventing school attendance, which aligns with poverty-related barriers to education.",FALSE
Distance and Accessibility Issues,5369,There is no middle school in this village,0.9,"The absence of a middle school in the village means children must travel to distant locations for education, creating an accessibility barrier.",FALSE
Unknown/Unclear,21732,Sundar discussed the importance of promoting education and empowering children.,0.95,This is an aspirational statement about promoting education rather than describing a specific educational barrier. It also contains a personal name 'Sundar' which constitutes PII.,FALSE
Early Marriage,5367,Specially for those girls who have left their studies before 12th class we should try our best to ensure that they continue their studies after 12th class or they get married after the age of 21 years,0.85,"The statement explicitly links girls' education dropout with marriage timing, mentioning 'they get married after the age of 21 years' as a goal, indicating early marriage is a barrier preventing girls from completing their studies.",FALSE
Poverty and Economic Barriers,5367,"Specially for those children whose parents are poor and they are unable to afford it and are not going to school, we have to ensure that those girls also get admission in school so that those children who are poor can also study and move forward",0.95,"The statement clearly identifies 'parents are poor' and 'unable to afford it' as the reason children are 'not going to school', which directly aligns with poverty and economic barriers preventing school attendance.",FALSE
Poverty and Economic Barriers,5413,"Poverty and financial constraints hinder girls' education as families cannot afford fees, books, and other necessities.",1,"The challenge explicitly mentions 'poverty and financial constraints' and inability to afford 'fees, books, and other necessities,' which directly aligns with economic barriers preventing education.",FALSE
