Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,25410 | Further education has been stopped due to wrong names in the children's Aadhaar cards. | 0.7457
,,,,,,"25467 | Due to lack of Aadhar card, they are leaving their studies only till fifth standard. | 0.6567"
,,,,,,"25467 | Due to lack of Aadhaar, children are not able to get enrolled. | 0.8813"
,,,,,,"25473 | Ajali was unable to go to school due to her family's poor financial condition. | Birth certificates are not being made, due to which children are not able to go to school because Aadhar cards are not being made."
,,,,,,"25484 | Due to Aadhar card, children are not able to go to school and are married off at the age of 12 and are not able to get education | 0.9014"
,,,,,,"25488 | Due to lack of Aadhar card, children are unable to study. | 0.9128"
,,,,,,"25489 | Due to lack of Aadhaar, children are leaving their studies by 5 pm. | 0.6519"
,,,,,,"25500 | Due to lack of Aadhar card, the child is unable to study. | 0.896"
,,,,,,25510 | Lack of Aadhar card by children hinders enrolment. | 0.8854
,,,,,,"25517 | Due to lack of Aadhar card, children are not able to get admission in schools and due to this, children are remaining out of school. | 0.9174"
,,,,,,25518 | The child could not be admitted to school because his Aadhar card was too small. | 0.8774
,,,,,,"25533 | Due to lack of Aadhaar, the name is registered in the school. | 0.7286"
,,,,,,25565 | The child is not getting enrolled in school due to lack of Aadhar card. | 0.9293
,,,,,,"25599 | Due to not having Aadhar card, 2 children could not be enrolled. | 0.8541"
,,,,,,25601 | Children could not reach school due to Aadhar card issues. | 0.9008
,,,,,,25604 | Children are being expelled from school for not attending on time. | 0.5027
,,,,,,"25618 | It was discussed in the community that due to children not having Aadhar card or due to any mistake in the Aadhar card, children are not able to get enrolled in school due to which they are unable to go to school. | 0.9298"
,,,,,,25643 | Children are not getting enrolled due to lack of Aadhar card. | 0.8901
,,,,,,25658 | Children are not studying due to not having Aadhar card | 0.9024
,,,,,,"25662 | Due to lack of Aadhar card, children are not able to go to school and enrolment is not happening. | 0.9401"
,,,,,,25685 | The community lacks the financial resources to provide for the educational needs of their children. | 0.4234
,,,,,,"25686 | Due to lack of Aadhar card and date of birth, children are not able to go to school in the village. | 0.9064"
,,,,,,"25695 | Abhi told you that due to wrong Aadhar card of our child, there is problem in getting admission in class 9. | 0.7532"
,,,,,,25841 | The child does not have an Aadhar card and is unable to get admission in school because nothing can be done without the Aadhar card. | 0.9004
,,,,,,"25842 | Due to not having Aadhar card, the child is not getting admission in school. | 0.9275"
,,,,,,"25874 | Due to lack of Aadhar card, children are not able to get admission in school, due to which they are not able to study. | 0.9517"
,,,,,,"25942 | Children in the community are facing difficulties in getting admission due to the requirement of Aadhar cards, which they do not have. | 0.8715"
,,,,,,"25947 | Due to Aadhar card, children's education is being bandit | 0.7707"
,,,,,,25952 | The child is not getting admission due to lack of Aadhar card. | 0.8969
,,,,,,"25975 | Due to lack of Aadhar card, children are facing difficulties in getting admission to school. | 0.9096"
,,,,,,"25980 | There is a boy who does not have an Aadhar card, due to which he is facing difficulty in getting education and other benefits. | 0.8543"
,,,,,,25991 | Children are not able to get enrolled in school due to their names not being in the Aadhar card. | 0.9317
,,,,,,"25992 | Due to lack of Aadhar card, children are not enrolled in schools due to which they are unable to study. | 0.9233"
,,,,,,26019 | Aadhar Card Enrollment Children are not getting admission in school | 0.8795
,,,,,,26031 | The biggest problem faced by children is that they are not able to get admission in school due to lack of date of birth and Aadhar card. | 0.9021
,,,,,,"26031 | Due to lack of Aadhar card, children are not able to get proper education. | 0.9395"
,,,,,,"26048 | The child who does not have an Aadhar card should get it made and after the examination, get him enrolled in the school and send him for studies. | 0.8345"
,,,,,,26075 | Children are being expelled from school for not attending school on time. | 0.5012
,,,,,,26077 | Rohan's name was changed to Aadhaar because he did not go to school. | 0.5868
,,,,,,"26079 | Due to wrong Aadhar card, children are not able to get admission in school. | 0.9371"
,,,,,,"26092 | Due to lack of Aadhar card, children are facing problems in studies. | 0.8911"
,,,,,,26104 | There is an issue with a child's Aadhar card that needs to be corrected to facilitate their education. | 0.8506
,,,,,,26107 | Some children do not have Aadhar card and some children do not go to study voluntarily. | 0.891
,,,,,,"26117 | Due to lack of Aadhar card, the child’s name was not being admitted and due to this he was not going to study the introduction. | 0.8196"
,,,,,,"26125 | Due to lack of Aadhar card, parents are unable to send their children to school. | 0.8932"
,,,,,,"26126 | The children did not have an Aadhar card, so they could not go to school | 0.9214"
,,,,,,26132 | Children could not go to school due to lack of Aadhar card or birth certificate. | 0.9101
,,,,,,"26161 | Due to lack of caste certificate, the child is not getting admission. | 0.728"
,,,,,,"26196 | Due to the problem of Aadhar card, boys and girls face a lot of problems in their studies and their parents also suffer a lot. | 0.7807"
,,,,,,26197 | Schools are closed because children do not have Aadhar card and Jam certificate. | 0.7804
,,,,,,"26203 | Women say that since our children do not have Aadhar cards, we are not able to send them to school. | 0.8133"
,,,,,,"26206 | Due to lack of Aadhar card, children are unable to go to school, due to which our daughter faces a lot of difficulty in studies. | 0.9165"
,,,,,,"26216 | Due to lack of Aadhar card, children are not getting admission in school, money has to be demanded for admission. | 0.8628"
,,,,,,26238 | Many children are unable to get admission in school due to errors in Aadhar card. | 0.9015
,,,,,,"26282 | Due to not having Aadhar card and birth certificate, children are not able to get admission in school. | 0.9276"
,,,,,,"26288 | Due to some discrepancy in the Aadhar card, birth certificate or account of some children, their school money is not coming and they are not able to get admission in the school. | 0.8112"
,,,,,,"26331 | The Aadhar cards of the small children there were not made, due to which the children could not get admission in the school. | 0.8768"
,,,,,,"26335 | Due to the child not having an Aadhar card, none of the child's money, whether government money, reaches him. | 0.7688"
,,,,,,"26374 | Parents send their children to school but the child does not go to study and due to the age being less in the Aadhar card, he/she could not be enrolled in the school. | 0.9122"
,,,,,,"26398 | Due to lack of Aadhar card, there is problem in enrolment of children. | 0.8804"
,,,,,,"26410 | The child does not go to school because the school is too far away or he does not have an Aadhar card, due to which his name is not registered in it. | 0.8978"
,,,,,,"26414 | Due to lack of Aadhar card, name is not being registered in the school. | 0.7945"
,,,,,,"26422 | Due to lack of Aadhar card, children are not getting admission in school and money is being demanded for it. | 0.9242"
,,,,,,"26435 | Due to lack of Aadhar card, children do not go to school to study. | 0.8669"
,,,,,,"26441 | Due to poverty, children are facing difficulties in accessing education. | 0.574"
,,,,,,"26441 | Due to father's illness, children are facing difficulties in accessing education. | 0.5086"
,,,,,,"26459 | Some children do not have Aadhar card, hence they are not able to go there. | 0.8766"
,,,,,,26461 | The child was not getting admission because he did not have an Aadhar card. | 0.8732
,,,,,,"26462 | Due to poverty, children are facing difficulties in accessing education. | 0.574"
,,,,,,"26462 | Due to father's illness, children are facing difficulties in accessing education. | 0.5086"
,,,,,,26507 | Children are facing problems in getting enrolled in school due to wrong age in Aadhar card. | 0.8726
,,,,,,"26515 | Name is registered in school but Aadhar card was not seen, hence name got cancelled again | 0.7407"
,,,,,,"26519 | Due to some children not having Aadhar card and some children not having Aadhar card with their parents, this is not increasing. | 0.7092"
,,,,,,26556 | The child has not been able to get admission in school due to lack of Aadhar card. The child has turned 7 years old. | 0.9083
,,,,,,"26561 | 15 children are not attending school due to poverty and social inequality, and they do not have an Aadhaar card. | 0.8446"
,,,,,,"26580 | Due to lack of Aadhar card, name is not being enrolled in school. | 0.8201"
,,,,,,"26609 | Due to loss of children's Aadhar card, children are not getting enrolled in school, this is what the parents say. | 0.9165"
,,,,,,"26623 | Due to the problem of Aadhar card, there is a problem in the studies of both boys and girls and Aadhar card and date of birth are required in the school. Without Aadhar card and date of birth, the form for class 9th and 10th cannot be filled. | 0.8073"
,,,,,,26648 | Many children are not going to school due to problems with Aadhar card and birth certificate. | 0.9239
,,,,,,26654 | The child is not able to get enrolled in the school due to lack of Aadhar card. | 0.9348
,,,,,,26732 | Small children do not have Aadhar cards due to which their names are being removed from the village school. | 0.8373
,,,,,,26742 | Children do not get any benefits from government schools due to their Aadhaar cards not being updated. | 0.7998
,,,,,,"26830 | Due to poor financial condition, they are unable to enroll in school and are unable to get their Aadhar card made. | 0.8839"
,,,,,,"26862 | There was a drop out of children there, the children were not going to school, the reason was asked, the Aadhar card of the children was never made. | 0.8459"
,,,,,,"26879 | They are unable to go to school because they do not have an Aadhaar card, as neither their mother nor their father is educated. | 0.8424"
,,,,,,"26903 | During the discussion, all the parents told that due to the Aadhar card of their child being wrong, their child's name is not being enrolled in the school. | 0.8325"
,,,,,,26925 | Causes of children with disabilities | 0.3803
,,,,,,26946 | Children of poor families are facing challenges in accessing education. | 0.5466
,,,,,,"26970 | Due to lack of Aadhar card, all the children are not getting admission | 0.899"
,,,,,,26980 | The child is not getting admission due to the wrong date of birth in the Aadhar card. | 0.8013
,,,,,,"26990 | Due to lack of Aadhar card, enrollment is not being done, and there are concerns about whether children will be educated. | 0.9057"
,,,,,,"26998 | Due to lack of Aadhar card, children are not able to enter the campus. | 0.8711"
,,,,,,"27001 | Some people do not have Aadhar card, some do not have birth certificate, due to this also they are not able to get admission in school. | 0.8695"
,,,,,,27005 | Children are not getting enrolled in the school due to loss of their Aadhar card. | 0.9012
,,,,,,27046 | The child is not getting admission due to lack of Aadhar card. | 0.8969
,,,,,,27053 | Students who have passed high school are enrolled under the Kaushal Vikas Yojana. | 0.5075
,,,,,,27068 | Due to lack of Aadhar card he is not able to get admission in school and no one is listening to his request to apply for Aadhar card. | 0.8069
,,,,,,27082 | Aadhar card corrections should be done to enable poor people to send their children to school. | 0.7984
,,,,,,"27082 | After Aadhar card correction, children will be sent to school. | 0.7991"
,,,,,,27095 | Women say that we are not able to send our children to school because they have to get Aadhar card made. | 0.794
,,,,,,27101 | There is the problem of Aadhar and many children also have to be enrolled. | 0.85
,,,,,,27103 | The lack of an Aadhar card is interrupting a child's studies. | 0.8466
,,,,,,27117 | He was expelled from school for not attending school regularly. | 0.3878
,,,,,,"27132 | Due to poverty, children in the village face difficulties in accessing education. | 0.5549"
,,,,,,"27133 | Due to their very low number, the child’s account has not even been created. | 0.5447"
,,,,,,"27137 | Due to lack of Aadhar card, children are not able to get registered in school. | 0.9256"
,,,,,,27148 | Many children do not have Aadhar card and birth certificate due to which they have not gone to school till date. | 0.9076
,,,,,,"27160 | Children are unable to go to school due to lack of Aadhar card, studying in two schools and not having date of birth. | 0.9315"
,,,,,,"27171 | During the Shiksha Chaupal, some didi said that due to my child not having Aadhar card, he is not able to get admission in school. | 0.8216"
,,,,,,"27173 | Oha's parents say that girls should not be given too much education, otherwise they start working as per their wish, start flirting with other boys and marry as per their choice, then our respect in the society gets ruined and due to the Aadhar card of the children, they are not able to get admission in the school and due to the distance of the school, the children are not able to go to school. | 0.777"
,,,,,,"27191 | Trouble getting Aadhar card made for the child, which is necessary for school enrollment. | 0.8568"
,,,,,,"27197 | Due to lack of Aadhar card, the child is not able to get admission. | 0.905"
,,,,,,"27199 | There are very few children here who are unable to go to school due to Aadhar or due to working as laborers, almost all the children here go to school. | 0.8284"
,,,,,,"27204 | The parent is facing a problem in making an Aadhar card for their child, which is required for school enrollment. | 0.8345"
,,,,,,"27208 | Where children want to study, some of them do not have Aadhar cards. | 0.9007"
,,,,,,27215 | Children are not getting admission in class 6 due to wrong name in their Aadhar card. | 0.839
,,,,,,27224 | Children face difficulty in getting education | 0.5669
,,,,,,"27249 | There is a parent whose both husband and wife are B.A. pass but he has three children, none of whom has Aadhar or birth certificate and neither does he go to send the three children to school. | 0.7151"
,,,,,,"27287 | Due to lack of Aadhar card, children are not able to get admission in school, due to which they are not able to study. | 0.9517"
,,,,,,"27299 | Due to lack of Aadhar card, children are not able to get admission in schools and are not able to participate in any government scheme. | 0.92"
,,,,,,"27389 | Due to the fire in the Musahar community in Harjipur village, the Aadhar cards and all the documents of the people there have been burnt and hence the children are not able to get enrolled. | 0.7891"
,,,,,,"27395 | Due to lack of Aadhar card, all the children are not getting admission in school. | 0.919"
,,,,,,27398 | My children are not able to go to school due to lack of Aadhar card. | 0.9222
,,,,,,"27447 | Due to the higher age in the Aadhar card, children are not able to get admission, hence their education is hampered. | 0.8942"
,,,,,,27450 | The child is not being enrolled in the school due to lack of Aadhar card | 0.9347
,,,,,,"27450 | Due to lack of Aadhar card, children are not getting enrolled in the school, so the parents said that we all will get Aadhar card made together and get the children enrolled in the school | 0.8426"
,,,,,,"27452 | Due to lack of Aadhar card, children are facing problems in enrolment. | 0.8712"
,,,,,,"27458 | Due to Aadhar card, boys are facing hindrance in their studies and are not getting any benefit. | 0.8163"
,,,,,,27465 | The community has informed that my 3 sons are not able to get admission in school due to lack of Aadhar card. | 0.8899
,,,,,,27491 | Three children here are not able to get admission due to the date of birth being too high in Aadhaar. | 0.7475
,,,,,,27512 | Date of Birth is not linked to Aadhaar Card as your child is not enrolled in school | 0.823
,,,,,,"27567 | Due to lack of birth certificate, Aadhar Card is not being made due to which he is not able to enroll in school. | 0.8692"
,,,,,,27570 | Some children do not have Aadhar card due to which their names have not been enrolled in the school. | 0.9069
,,,,,,27611 | Children do not go to school due to lack of Aadhar card. | 0.9151
,,,,,,"27624 | Due to lack of Aadhar card of children, their enrollment is not possible. | 0.8574"
,,,,,,27637 | The community is facing an issue where a child cannot get admission in school due to not having an Aadhar card. | 0.9285
,,,,,,"27647 | Due to lack of Aadhar card, children were not able to study and were not able to get admission. | 0.9142"
,,,,,,"27651 | The community faced issues with making Aadhar cards for children, which prevented them from getting admission to school. | 0.8468"
,,,,,,27651 | Children were not attending school due to the lack of Aadhar cards and admission issues. | 0.8962
,,,,,,"27675 | Due to poverty, many children in the community face difficulties in accessing education. | 0.509"
,,,,,,27680 | The child was expelled from school due to not having an Aadhar card. | 0.852
,,,,,,"27682 | The children did not have Aadhaar cards, hence they could not go to school. | 0.8604"
,,,,,,"27724 | The children did not have Aadhar cards, so they could not go to school | 0.9104"
,,,,,,"27727 | Due to Aadhaar card issues, the child is unable to enroll in school and hence is unable to study. | 0.8814"
,,,,,,27744 | The child is not getting admission due to lack of Aadhar card. | 0.8969
,,,,,,27752 | He was expelled from school for not attending school regularly. | 0.3878
,,,,,,"27799 | It was told by Matar that due to the children not having Aadhar card, they would not be given admission. | 0.8945"
,,,,,,"27799 | Due to the children not having the Pranam Patra, their Aadhar cards were not being made and hence admission was not possible. | 0.8287"
,,,,,,"27808 | Due to the children not having Aadhar cards, they were not able to get admission in school. A lot of money was spent wandering here and there but the Aadhar card was not made anywhere. | 0.8774"
,,,,,,"27808 | Many sisters got their Aadhar cards made but the name in it is something and the father's name is something else, hence admission is not possible. | 0.6952"
,,,,,,27844 | Two or four children from there go to study and they just take all this for the goats and do not understand the importance of education. Even their Aadhar card is not correct. | 0.6907
,,,,,,"27862 | Some children are going to school and studying but due to not having Aadhar card they do not get scholarship or money for dress allowance, hence the guardians do not want to send their children to school. | 0.8593"
,,,,,,27869 | Children cannot go to school because they do not have Aadhar cards. | 0.9138
,,,,,,27883 | Ruby Didi's son does not have an Aadhar card due to which his name is not being enrolled in the school. | 0.7605
,,,,,,"27886 | Without Didi's daughter's Aadhaar card, Nikhil would not have been able to enroll in school. | 0.6804"
,,,,,,"27901 | The children did not have Aadhar cards, so they could not go to school. | 0.8843"
,,,,,,"27931 | Due to not making Aadhar card, children are not getting educated. | 0.9047"
,,,,,,"27938 | Due to not having Aadhar card, children are not getting education. | 0.9303"
,,,,,,"27949 | Due to not having Aadhar card, children are not getting education | 0.9269"
,,,,,,27960 | The child was not enrolled in the school due to lack of Aadhar card. | 0.9108
,,,,,,"27966 | Due to not making Aadhar card, children are not getting educated. | 0.9047"
,,,,,,27999 | Children are not going to school because of Aadhar card issues. | 0.9273
,,,,,,"28005 | There is a boy named Kundan Kumar, he also does not have parents. Due to not having a birth certificate for 6 years, his Aadhar card is not being made due to which he is not getting admission in school. | 0.8457"
,,,,,,"28006 | The community shared that one challenge is that the children's Aadhar cards have not been made, which is affecting their education. | 0.8782"
,,,,,,"28012 | There is a girl named Shalini who does not have parents and does not even have an Aadhar card. Look after her child, his grandparents take care of him. The child does not have an Aadhar card because of ISI, his nomination is not being done. The child is 11 years old. | 0.7397"
,,,,,,28017 | Children study but their Aadhar card is not made. | 0.9072
,,,,,,"28028 | Due to lack of Aadhar card, children's nomination is getting hampered. | 0.7695"
,,,,,,28092 | Children are not getting enrolled due to lack of Aadhar card. | 0.8901
,,,,,,"28106 | Due to lack of Aadhar card, children are not able to get enrolled | 0.9226"
,,,,,,28126 | Children are unable to get scholarship due to wrong name on Aadhar card. | 0.8055
,,,,,,"28143 | Due to lack of Aadhar card, children are not able to study and avail government benefits. | 0.902"
,,,,,,28152 | Most of the children in this village did not go to school because they did not have Aadhar cards. | 0.8759
,,,,,,28154 | Most of the children of this village are unable to go to school due to lack of Aadhar card. | 0.9208
,,,,,,"28155 | Due to lack of Aadhar card of the child, the child is not able to get enrolled. | 0.8874"
,,,,,,28157 | The account cannot be opened as the child does not have an Aadhaar card. | 0.7398
,,,,,,"28158 | Due to loss of Aadhar card, children are not able to get enrolled in school. | 0.9229"
,,,,,,28164 | Most of the children of this village are unable to go to school due to lack of Aadhar card. | 0.9208
,,,,,,28184 | Admission is not possible due to lack of Aadhar card of the children. | 0.8851
,,,,,,"28191 | Due to wrong date of birth, Aadhar card is not being made. Due to lack of Aadhar card, the child is not getting admission and hence he is being deprived of education. | 0.8779"
,,,,,,"28273 | Due to lack of Aadhaar cards for children, accounts cannot be opened. Discussion on making one for child Usman. | 0.6618"
,,,,,,"28291 | There the children are not able to get enrolled without Aadhar card correction, hence the children are not able to get complete education. | 0.941"
,,,,,,28314 | Children do not get benefits from government schools due to their Aadhaar card not being updated. | 0.8195
,,,,,,"28318 | They do not go to school due to wrong Aadhar card, non-issuance of birth certificate, non-opening of account etc. | 0.8503"
,,,,,,"28324 | The children do not have Aadhar card, hence admission is not being done there. The children are facing problems in getting the Aadhar card made. | 0.8633"
,,,,,,"28333 | Due to the children not having Aadhar cards, they are not able to get scholarship from the school and the teacher does not hold regular meetings. On this everyone said that there is no coordination between our children and the teacher. | 0.8338"
,,,,,,"28356 | Due to lack of Aadhar card, children are unable to complete their education and do not get benefits from government schools like dress scholarship. | 0.8513"
,,,,,,"28365 | Due to lack of Aadhaar card, children are not admitted to school and caste and residence documents are not made, hence admission in ninth class has been stopped. | 0.8263"
,,,,,,"28371 | Due to wrong information in Aadhar card, he is not allowed admission in Saras School. | 0.6954"
,,,,,,"28378 | Due to poverty, children are not able to get education because of errors in Aadhar card and for higher education, the high school is very far away and there is no means of transportation. | 0.8346"
,,,,,,28404 | Aadhar cards of some children were not made due to which their names were not enrolled in the school. | 0.865
,,,,,,29127 | Naming ceremony not held in school due to Aadhar card | 0.7468
,,,,,,"29250 | Due to Aadhar Card issues, children are facing difficulties in accessing education. | 0.8639"
,,,,,,29429 | The child could not be enrolled in the school due to lack of Aadhar card. | 0.9254
,,,,,,"29430 | The community shared challenges regarding children’s education, specifically the need to rectify their Aadhar cards to pursue their studies. | 0.8145"
,,,,,,"29446 | Due to lack of Aadhar card, the child was not enrolled in school. | 0.8946"
,,,,,,"29459 | Due to lack of Aadhar card, the child is not able to take admission in school. | 0.9261"
,,,,,,"29459 | The child's name was registered in the school, but due to wrong name in the Aadhar card, it was removed from the list. | 0.8044"
,,,,,,"29476 | The child did not come to school every day, due to which he was expelled from school. | 0.5048"
,,,,,,"29483 | Due to lack of Aadhar card, children are facing difficulties in getting education. | 0.8966"
,,,,,,"29484 | Due to lack of Aadhar card, children are facing difficulties in accessing education. | 0.8907"
,,,,,,"29518 | Due to lack of Aadhar card, children are facing problems in getting admission. | 0.9092"
,,,,,,29557 | Children were not going to school due to not having Aadhar Card. | 0.9107
,,,,,,29575 | Child not going to school due to Aadhar card | 0.9139
,,,,,,29578 | He has not been enrolled in school due to Aadhar card. | 0.8297
,,,,,,29587 | Children are not going to school because their Aadhar card is not being corrected. | 0.9258
,,,,,,29603 | The village does not have Aadhar cards for its children and hence they are unable to go to school. | 0.8932
,,,,,,"29614 | Due to Aadhar card issues, children's education is hindered. | 0.8736"
,,,,,,"29618 | The community shared challenges regarding children’s education, specifically about Aadhar card. | 0.8166"
,,,,,,"29627 | Due to wrong date of birth in Aadhar card, he is not able to take admission in school. | 0.8027"
,,,,,,"29629 | Due to lack of Aadhar card of the child, the child is not able to get enrolled. | 0.8874"
,,,,,,"29643 | Due to the child not having an Aadhar card, he could not be admitted to school. | 0.9158"
,,,,,,"29644 | The community says that due to a minor mistake in the name of the child in his Aadhar card, he is not able to get admission. | 0.8163"
,,,,,,"29651 | Due to wrong date of birth in Aadhar card, he is not able to take admission in school. | 0.8027"
,,,,,,"29655 | All the people in the village are written as Narayan, they will get Aadhar card made or send their children to school and | 0.6795"
,,,,,,"29675 | Without Aadhar card, the child is not getting admission in school. | 0.9297"
,,,,,,29676 | Parents say that their children do not have Aadhar cards due to which they face a lot of problems in getting their children enrolled in school. | 0.9093
,,,,,,29692 | The child is not getting admission in the school because he does not have an Aadhar card. | 0.9095
,,,,,,29705 | Children are not able to get education because their Aadhar cards have not been made. | 0.9393
,,,,,,29752 | The child is facing difficulty in getting enrolled in the school due to not having an Aadhar card. | 0.9116
,,,,,,"29767 | Due to Aadhar card problem, eighth pass child got admission in ninth | 0.7668"
,,,,,,29774 | The child is unable to attend school due to a mistake in his Aadhar card. | 0.878
,,,,,,29779 | There are many such children in village Gandhinagar who are not able to get admission in school due to wrong details in their Aadhar card. | 0.8782
,,,,,,"29783 | Due to lack of Aadhar card, children are facing big problems in admission. | 0.8809"
,,,,,,"29786 | In this Chaupal, Didi says that Aadhar card is not being made anywhere, our child's name is not being printed, due to Aadhar card, six of our children will not be able to go to school. | 0.7839"
,,,,,,29791 | Lack of Aadhar cards prevents children from attending school. | 0.9192
,,,,,,"29792 | Due to wrong details in Aadhar Card, the child is not able to get admission in school. | 0.907"
,,,,,,"29805 | Some children are not admitted, some children do not have Aadhar card and certificate, due to which their enrollment is not taking place. | 0.9244"
,,,,,,"29812 | Teachers said that children are not getting admission in school, poor women are not able to get Aadhar card made, here the government has to go to the block, many precautions are being taken, admission is not possible due to ISI. | 0.8566"
,,,,,,"29840 | Due to the children not having birth certificates, their Aadhar Cards could not be made and hence they were not able to get admission in school. | 0.9329"
,,,,,,29841 | Aadhar Card and Birth Certificate issues affect children's education and overall development. | 0.7938
,,,,,,"29856 | The women did not have Aadhar cards for their children, due to which they were not able to get admission in schools. | 0.7987"
,,,,,,29856 | Children were not getting admission in school due to lack of Aadhar card and many children are in remote areas and have also become homeless due to school. | 0.8875
,,,,,,"29863 | Effects of Aadhar Card on nomination, child marriage and education | 0.733"
,,,,,,29875 | The child could not get admission in the school due to lack of Aadhar card or birth certificate. | 0.9124
,,,,,,"29885 | The children did not have Aadhar cards, did not have date of birth and even after overcoming all these challenges, the children had left school. | 0.8578"
,,,,,,"29904 | Those children who do not have Aadhar card and do not have birth certificate, they can get education for their children from fifth to varni. | 0.7853"
,,,,,,29925 | Children do not go to school due to not having Aadhar card. | 0.9144
,,,,,,"29931 | Due to lack of Aadhar card, children are facing difficulty in studying. | 0.8715"
,,,,,,"29943 | There is some problem with the Aadhar card and it cannot be made quickly, hence the child's studies are also getting hampered. | 0.8685"
,,,,,,"29993 | Due to wrong date of birth in Aadhar card, name has not been registered in the school. | 0.787"
,,,,,,"29999 | Due to lack of Aadhar card, children are facing difficulties in accessing education. | 0.8907"
,,,,,,"30001 | Due to the wrong name in the Aadhar card, the name was not enrolled in the school. | 0.7907"
,,,,,,"30010 | Due to Aadhar card, children are not able to study and write. There are many problems with Aadhar card due to which people are unable to make it. | 0.8883"
,,,,,,"30026 | The parent says that when my daughter passes 10th, she does not get the benefit of any incentive amount. | 0.4383"
,,,,,,"30032 | Due to not having Aadhar card, not having birth certificate, failing in the exam twice | 0.6884"
,,,,,,"30047 | The children did not have Aadhar cards, hence their admission was delayed, hence they were told the reason for this. | 0.8185"
,,,,,,"30055 | Due to lack of Aadhar card, the name is not being enrolled in the school. | 0.8059"
,,,,,,30078 | Children are facing problems in education due to lack of Aadhar card. | 0.9095
,,,,,,30088 | The child is not able to get admission due to lack of Aadhar card. | 0.9132
,,,,,,"30097 | Due to lack of Aadhar card, children are not able to get admission. | 0.9319"
,,,,,,"30097 | Due to non-issuance of birth certificate, Aadhar card of children has not been made, hence children are not able to go to school. | 0.9414"
,,,,,,30109 | Some children did not have Aadhar card and were not enrolled in school. | 0.8895
,,,,,,"30132 | Due to not having Aadhar card, one cannot study. | 0.7574"
,,,,,,"30139 | Without Aadhar card, children cannot be enrolled in school. | 0.8826"
,,,,,,30145 | Could not get admission for their children due to lack of Aadhar card of the children | 0.9017
,,,,,,30150 | Some children do not go to school due to household work and lack of Aadhar card. | 0.8915
,,,,,,30155 | A boy's name was not registered in school due to incorrect date of birth on Aadhaar. | 0.7604
,,,,,,"30155 | Due to the wrong name in the Aadhar card, the name was not enrolled in the school. | 0.7907"
,,,,,,30159 | The child is not able to get admission due to lack of Aadhar card. | 0.9132
,,,,,,"30161 | The children did not have Aadhar cards, which could prevent them from getting admission in school. | 0.908"
,,,,,,"30162 | Children do not have Aadhar cards and date of birth, due to which children are not able to go to school. | 0.9266"
,,,,,,"30172 | Parents do not pay attention to the teenager going to school from the beginning, when she grows up, the teenager says that she will not go to school and she faces a lot of problems in studies, there is difficulty and due to the father's name not matching in Aadhar, she is unable to enroll in class 10th | 0.8127"
,,,,,,"30176 | Due to lack of date of birth, the child's Aadhar card is not being made, due to which he is not able to get admission in school. | 0.9088"
,,,,,,30190 | Children do not go to school because their Aadhar card is not corrected. | 0.9043
,,,,,,"30196 | Due to lack of Aadhar card, the child is not able to take admission in school. | 0.9261"
,,,,,,"30209 | Due to lack of birth certificate, Aadhar cards were not being made, due to which children were not able to go to school. | 0.9032"
,,,,,,"30215 | Due to lack of Aadhar card, admission is not being done in school. | Due to lack of birth certificate, Aadhaar card is not being made."
,,,,,,"30218 | One sister said that we have not got birth certificates and Aadhar cards made for our children, due to which we have not been able to get them admitted to school yet, and that is why they do not go to study. | 0.846"
,,,,,,"30223 | Due to lack of Aadhar card, there is problem in getting the child admitted in school. | 0.9171"
,,,,,,"30247 | Due to errors in Aadhar card, children's admission is getting hampered. | 0.8191"
,,,,,,30271 | The child is unable to be enrolled due to lack of Aadhar Card. | 0.894
,,,,,,"30274 | Many boys and girls do not have Aadhar cards, hence their studies are getting hampered and they are not going to school. | 0.9082"
,,,,,,"30340 | The father's name is not there in the child's Aadhar card, due to which he is not able to get admission in school. | 0.845"
,,,,,,"30343 | Some people did not have Aadhar card, some did not have birth certificate, due to which boys and girls could not go to school, we asked their parents to get Aadhar card and birth certificate made and asked them to send them to school. | 0.8548"
,,,,,,"30348 | Due to the date of birth not being correct in the Aadhar card, teachers are not giving any pain and the name is not being registered in the next school. | 0.8203"
,,,,,,"30363 | Due to lack of Aadhar card, 10 children are not able to go to school. | 0.8995"
,,,,,,"30368 | Birth certificate is not available for making Aadhar card, due to these reasons a person cannot take admission in school. | 0.7935"
,,,,,,30387 | Children cannot be enrolled in school because they do not have any certificate or necessary document for making Aadhar card. | 0.9158
,,,,,,"30398 | Due to lack of Aadhar card, children are facing difficulties in accessing education. | 0.8907"
,,,,,,"30398 | Due to lack of birth certificate, children are facing difficulties in accessing education. | 0.6691"
,,,,,,"30398 | Due to poor economic conditions, children are facing difficulties in accessing education. | 0.5887"
,,,,,,"30399 | Due to lack of Aadhar Card and date of birth, the child was facing problem in getting admission in school. | 0.9021"
,,,,,,"30401 | Children were facing difficulties in studies because they did not have Aadhar cards, due to which they were not able to get admission. | 0.9052"
,,,,,,"30406 | Due to the problem of Aadhar card, both boys and girls are facing difficulty in studies and Aadhar card and date of birth are mandatory for admission in school. Without Aadhar card and date of birth, admission is not possible for class 6 or even class | 0.8316"
,,,,,,"30409 | Due to the children not having Aadhar card and date of birth, they are not able to get admission | 0.8816"
