Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven,date of birth not recorded,certificate not available,proper documentation,caste certificate,residence certificate,child registration,non enrolment,wrong name",Approved,217,29294 | To help people get their Aadhar cards made | 0.7711
,,,,,,13849 | To address the lack of access and quality in education in rural Karnataka by providing qualified teachers and promoting awareness among parents | 0.7872
,,,,,,30676 | To improve the educational process in Banglihundi Graama by encouraging parents to pay attention to teachers and their children | 0.7986
,,,,,,29212 | To improve school attendance by addressing child labour and early marriage in Gaanv Ropahatha | 0.733
,,,,,,7778 | To improve education in Bihar | 0.7929
,,,,,,19944 | To improve education in Shivhar by addressing the shortage of teachers and education in schools | 0.7067
,,,,,,19525 | To ensure every boy and girl in the village attends school and receives an education | 0.7752
,,,,,,"3310 | To improve access to education for girls in Heggadapura, Mysore, Karnataka by addressing the lack of transportation | 0.6805"
,,,,,,"16213 | To improve the education system in Alanahalli, Mysore, Karnataka | 0.7095"
,,,,,,28888 | To improve education in Shivhar by increasing awareness among children and parents about the importance of education | 0.787
,,,,,,19057 | To improve education in Gaojakhini by addressing the shortage of rooms and teachers in the school | 0.6808
,,,,,,16934 | To increase awareness about the importance of education among illiterate guardians in Ratanpur | 0.6707
,,,,,,29264 | To improve education in rural Karnataka by increasing awareness and involvement of parents in their children | 0.8255
,,,,,,20402 | To improve education in Khizersarai by ensuring that children receive a good education | 0.7043
,,,,,,4159 | To improve the expression of students in High School Bariyarpur by providing a supportive environment and encouraging participation. | 0.6445
,,,,,,15363 | To improve adolescent education in Nandwara Bairganiya by raising awareness about its importance and providing support to teenagers | 0.7774
,,,,,,28901 | To raise awareness about the importance of education among rural communities in Bihar and encourage children to pursue further studies | 0.8228
,,,,,,3983 | To improve the education of children from the Mushahar and Bhangi caste settlements | 0.7494
,,,,,,29215 | To ensure all children in the village have the necessary documents for school admission | 0.7024
,,,,,,3778 | To improve the education system in Madapur Village by addressing the shortage of teachers and basic amenities in government schools | 0.7805
,,,,,,17368 | To address child marriage and drug addiction in Village Gandhinagar by educating children and taking legal action against drug addicts | 0.5972
,,,,,,"23700 | To educate every boy and girl in rural Bihar, regardless of their economic background | 0.781"
,,,,,,18053 | To improve the school facilities in Lodipur by providing toilet and tap water facilities | 0.5809
,,,,,,7038 | To improve education in Bihar by addressing the issue of parents being busy and children not attending school | 0.8045
,,,,,,4248 | To prevent human trafficking of girls in rural Bihar by raising awareness and promoting vigilance among the community | 0.5234
,,,,,,"4555 | To improve education in Kannali Village by addressing parental mindset, financial constraints, and lack of facilities | 0.782"
,,,,,,5008 | To improve education in Hosabudanooru village by engaging the community and providing resources to families | 0.7862
,,,,,,5016 | To improve education in Hosabudanooru village by providing bridging classes and linking families with microcredit and skill training opportunities | 0.7214
,,,,,,5020 | To improve the educational outcomes of boys in Hosabudanooru village by addressing the lack of interest in learning and providing individualized support. | 0.7185
,,,,,,4149 | To improve education among the people of Birachhapra village by raising awareness and promoting education | 0.7555
,,,,,,15702 | To improve education in rural Bihar by addressing the issue of children dropping out of school due to poverty and lack of understanding of education's importance | 0.8147
,,,,,,16198 | To provide education to children in Harijan Colony despite poor financial conditions | 0.6605
,,,,,,20347 | To educate underprivileged children in rural Bihar | 0.7897
,,,,,,"3288 | To address the lack of teachers, books, and playground in Saptagiri school | 0.6396"
,,,,,,15302 | To improve education in Hardiya village by addressing poverty and lack of money | 0.7509
,,,,,,4148 | To improve communication with the Head Master and ensure successful implementation of programs | 0.4178
,,,,,,4220 | To improve the educational experience of students in Bandra by organizing a Pravesh Utsav and connecting the school with the community | 0.6259
,,,,,,4249 | To improve education in Dumri Cutt Saadi Nayagaon Shivhar Bihar by motivating children to go to school through transport | 0.7901
,,,,,,9311 | To improve girls education in rural Bihar | 0.761
,,,,,,29048 | To improve education in the village by raising awareness about the importance of education | 0.8392
,,,,,,5011 | To improve education in Hosabudanooru village by addressing financial constraints and parental mindset | 0.7104
,,,,,,28939 | To provide quality education to drafted out children in tribal areas and make them socially and mentally complete | 0.6571
,,,,,,28474 | To provide basic education to all children in the village | 0.7359
,,,,,,28486 | To improve education in Kaimur by re-admitting dropouts and encouraging regular attendance | 0.5758
,,,,,,28506 | To empower the children of Village Amarpur by providing them with access to education and stopping child marriage | 0.7359
,,,,,,29235 | To increase awareness about education among children and parents in Saraya village and encourage regular school attendance | 0.8454
,,,,,,29324 | To increase awareness about the importance of education among parents and children in the village | 0.8312
,,,,,,29383 | To improve education in Karnataka by addressing the main problem noticed in the school or community | 0.7508
,,,,,,"29368 | To improve education in Afzalpur village by encouraging children to attend school and coaching classes, thereby addressing the issue of weak economic situation due to lack of education | 0.7936"
,,,,,,29393 | To improve the education system in Bishanpur village by addressing the lack of order in school and ensuring regular attendance of children | 0.7786
,,,,,,29399 | To improve education in villages by educating parents and children about its importance | 0.875
,,,,,,29401 | To increase awareness and importance of education among children in Khopraha village | 0.8191
,,,,,,29404 | To educate all children in Parsa Kala village and make them aware of the importance of education | 0.8414
,,,,,,29415 | To improve education in Graam Masahi by increasing awareness and encouraging children to attend school regularly | 0.7796
,,,,,,29416 | To increase school attendance in Umapur village by addressing the issue of children not attending school due to distance | 0.7137
,,,,,,29418 | To empower education in Dandaniya by encouraging parents to send their children to school | 0.768
,,,,,,29440 | To improve education in Patal Bigha village by increasing school attendance and providing remedial classes for children who were shy to attend school due to weak studies | 0.7888
,,,,,,"29481 | To improve parental engagement and awareness about the importance of education in Sakra Vajid, Muzaffarpur | 0.7642"
,,,,,,29510 | To increase awareness about education among parents and children in Bagaha Tolla | 0.7815
,,,,,,37187 | To improve education for Dalit and Mahadalit children by providing free coaching and supporting their health and well-being | 0.7275
,,,,,,"39186 | To improve education in Kalahandi, Odisha by teaching and understanding | 0.6956"
,,,,,,37076 | To promote education and equality among Scheduled Caste children by providing free course coaching and raising awareness about government schemes | 0.6911
,,,,,,40420 | To enhance the quality of education in Kosgi by addressing the lack of awareness and resources | 0.6192
,,,,,,40419 | To improve education in Nacharam by engaging with the community and teachers | 0.7267
,,,,,,40472 | To improve education in Sikta village by organizing Education Chaupal and meetings with parents and village heads | 0.7825
,,,,,,30595 | To improve education in Kamalpura village by addressing the lack of toilets and drinking water in the school | 0.7291
,,,,,,33455 | To improve academic education of children in Machchare Graama by providing tutoring and encouraging parental involvement | 0.6815
,,,,,,34128 | To improve education in rural Bihar by addressing the lack of toilets and hand pumps in schools | 0.7299
,,,,,,28714 | To improve education in Karnataka by addressing the issue of children migrating from other states and districts | 0.7246
,,,,,,"40423 | To educate underprivileged children in the village of Rohtas, Prakhand Tilawat, by informing their parents about the importance of education and the provisions available in government schools. | 0.7529"
,,,,,,29545 | To improve the education system in Bihar by hiring new teachers | 0.7078
,,,,,,33813 | To educate rural villagers about the importance of education and prevent child marriage and child labour | 0.7395
,,,,,,"33855 | To improve education in Khanpura by addressing the issues of child marriage, child labour, and lack of access to education | 0.7856"
,,,,,,34148 | To educate villagers about the importance of education and the dangers of child marriage and child labor | 0.7275
,,,,,,"34073 | To improve education in the village of Sikri, Kaimur, Bihar | 0.8583"
,,,,,,32595 | To improve access to higher education for women and adolescents in Musepur Panchayat by addressing the commuting problem | 0.5755
,,,,,,40502 | To improve parental engagement in education by conducting regular meetings and motivating villagers to send their children to school | 0.7493
,,,,,,"30019 | To improve education in Goa, Bihar by increasing awareness about the importance of education | 0.7906"
,,,,,,"31443 | To provide equal education facilities to all children in the village, regardless of their caste | 0.7295"
,,,,,,40443 | To improve the educational outcomes of Mahadalit girls by addressing the challenges they face in accessing education | 0.6932
,,,,,,35716 | To educate villagers about the importance of education and prevent child marriage and child labour | 0.755
,,,,,,"33865 | To improve the education system in Chintavanpur by installing hand pumps, building toilets, and providing good education | 0.6481"
,,,,,,33515 | To address the issue of child marriage and lack of education in the village by engaging with families and providing them with information about government facilities and the importance of education | 0.7841
,,,,,,40440 | To improve the education system in Phuli village by promoting government schools and highlighting their benefits. | 0.7086
,,,,,,40451 | To educate girls in rural Bihar by enrolling them in school and making their parents understand the importance of education | 0.8487
,,,,,,35701 | To improve the educational facilities in Basantpur Patti by providing toilets and hand pumps in the school | 0.5947
,,,,,,40404 | To improve education for girls in rural Bihar by raising awareness about the importance of education and motivating them to enroll in school | 0.8508
,,,,,,32274 | To improve education in Barwa Gaav by addressing the issue of children being unable to afford Anganwadi expenses | 0.7144
,,,,,,40424 | To spread awareness about the importance of education and provide information about government facilities to parents in Dihariya village | 0.7972
,,,,,,35376 | To improve education in Donon Tolly Gaanv by ensuring children attend school on time and focus on their studies | 0.7173
,Girl Child Education Empowerment and Advocacy,"This theme encompasses initiatives aimed at promoting and facilitating the education of girls, with a strong emphasis on empowering them through learning and raising awareness about its critical importance. It also addresses the need to challenge societal and parental attitudes that create educational disparities, advocating for gender equality in educational access and opportunities.","girl child education,empowerment,gender equality,parental attitudes,awareness,educational access,advocacy",Draft,194,22 | To empower girls through education and create awareness about its importance | 0.9517
,,,,,,5014 | To change parental attitudes that favor boys over girls in education | 0.7012
,,,,,,4027 | To raise awareness about the importance of education in underprivileged communities and empower girls to pursue their educational goals | 0.8473
,,,,,,28603 | To empower girls through education and create awareness about its importance in the community | 0.9349
,,,,,,15007 | To empower girls through education and ensure they get married at a suitable age | 0.8368
,,,,,,3881 | To empower girls through education and raise awareness about their rights | 0.9275
,,,,,,3761 | To empower girls through education and raise awareness about its importance in the community | 0.9296
,,,,,,28546 | To empower girls through education and support their continued learning | 0.9302
,,,,,,28455 | To educate parents about the importance of equality and not allowing discrimination between boys and girls | 0.7032
,,,,,,28612 | To empower girls through education and help them overcome obstacles | 0.9528
,,,,,,41559 | To empower girls through education and make them aware of the importance of education | 0.9615
,,,,,,40568 | To educate girls in the community by changing the old thinking of parents | 0.8097
,,,,,,40571 | To empower girls through education and create awareness about its importance | 0.9517
,,,,,,40629 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,41657 | To promote girl child education and empower them through education | 0.9293
,,,,,,40640 | The objective of the project was to increase awareness about the importance of girls education in the community and to motivate the girls to pursue their studies. The project aimed to empower the girls to take control of their own education and to promote the importance of education in the community. | 0.7916
,,,,,,28618 | To encourage Nandini and other girls in the village to continue their education despite financial constraints and societal pressures | 0.6739
,,,,,,41683 | To educate Rabina and other girls in the community | 0.6549
,,,,,,40715 | To empower girls through education and help them understand its importance | 0.9647
,,,,,,40815 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,40845 | To empower girls through education and prevent child labor | 0.8672
,,,,,,40852 | To empower girls through education by addressing the issue of girls being prohibited from going to school due to distance and safety concerns | 0.8148
,,,,,,40854 | To empower girls through education and provide them with opportunities for higher education | 0.939
,,,,,,"40861 | To empower the community by providing access to education, especially for young girls, and to create a supportive environment that fosters learning and growth. | 0.8444"
,,,,,,40914 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,40917 | To empower girls through education and provide them with opportunities for a better future | 0.9549
,,,,,,40929 | To empower girls through education and help them achieve their goals | 0.9596
,,,,,,40934 | To provide girls with access to education and empower them to take control of their lives | 0.8954
,,,,,,41015 | To empower girls through education and provide them with opportunities for a better future | 0.9549
,,,,,,"41035 | To educate and empower girls in the community, ensuring they have access to quality education and a better future | 0.905"
,,,,,,41042 | To ensure girls from underprivileged backgrounds receive education and support to break the cycle of poverty | 0.7754
,,,,,,16397 | To educate women and promote their development in the community | 0.7754
,,,,,,16548 | To empower girls through education by ensuring their safety on the way to school | 0.8785
,,,,,,41066 | To empower girls through education and raise awareness about its importance in the community | 0.9296
,,,,,,41103 | To empower teenage girls by providing them with a platform to express themselves freely and participate in games and activities. | 0.6998
,,,,,,41116 | To improve education for underprivileged girls by increasing awareness about government schemes and encouraging parents to send their children to school | 0.8214
,,,,,,"41142 | The objective of this micro-improvement is to increase awareness and access to education among women and children in the community, and to empower them to take charge of their own education. | 0.6555"
,,,,,,41256 | To educate girls in the community | 0.8582
,,,,,,41261 | To empower girls through education by enrolling them in schools | 0.9447
,,,,,,4035 | To empower a minor girl to complete her education by raising awareness about the importance of education and the legal implications of marrying a minor | 0.6518
,,,,,,16483 | To empower girls through education and help them shape their future | 0.9535
,,,,,,3968 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,40512 | To promote girl education and empower women through education | 0.9054
,,,,,,40515 | To increase girls' participation in education and empower them to take control of their future | 0.909
,,,,,,40517 | To provide educational opportunities to underprivileged girls and empower them through knowledge | 0.8926
,,,,,,41285 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,40527 | To empower girls through education by addressing the issue of unfair practices in schools | 0.7946
,,,,,,40531 | To promote girls' education and empower them through knowledge | 0.9196
,,,,,,40533 | To empower girls through education by resolving issues related to their educational pursuits | 0.8715
,,,,,,40540 | To empower girls through education and create a positive impact in their lives | 0.955
,,,,,,41419 | To empower girls through education and ensure they complete their schooling | 0.9536
,,,,,,41460 | To empower girls through education and create awareness about its importance | 0.9517
,,,,,,41502 | To empower girls through education and encourage them to attend school regularly | 0.948
,,,,,,41551 | To promote girl education and encourage parents to enroll their daughters in school | 0.8601
,,,,,,48919 | To empower girls in the community by raising awareness about the importance of education and encouraging them to pursue their studies | 0.9162
,,,,,,48955 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,48958 | To promote girls' education | 0.89
,,,,,,49011 | To empower girls through education and create awareness about its importance | 0.9517
,,,,,,49013 | To empower girls through education and encourage them to enroll in school | 0.9527
,,,,,,5970 | To empower girls through education and help them stand on their own feet | 0.8778
,,,,,,28704 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,4301 | To send deprived teenage girls to school for education | 0.7647
,,,,,,7153 | To empower girls through education and reduce poverty | 0.9081
,,,,,,4223 | To make a girl from the slum sit in classes and educate her about her rights and importance of education | 0.7181
,,,,,,7164 | To empower teenage girls through education and raise awareness about the importance of education in their lives | 0.8867
,,,,,,4234 | To empower a community by providing education and promoting the importance of education for girls. | 0.9326
,,,,,,4247 | To discuss human rights in the task force group and find a solution for a girl who ran away and was traded | 0.3842
,,,,,,7304 | To promote education among adolescent girls and empower them to attend school | 0.8451
,,,,,,7284 | To promote girls' education | 0.89
,,,,,,4280 | To empower girls through education and help them understand their rights and responsibilities | 0.9465
,,,,,,"4303 | To educate and empower adolescent girls about their rights and health, and to promote their participation in outdoor activities | 0.7489"
,,,,,,4071 | To enhance education for girls from Muslim families by encouraging their parents to send them to school | 0.7414
,,,,,,29070 | To empower girls through education and create a supportive community | 0.9446
,,,,,,9557 | To empower girls through education | 0.9567
,,,,,,4094 | To empower girls through education and raise awareness about poverty | 0.9004
,,,,,,4162 | To empower girls through education and create awareness about its importance | 0.9517
,,,,,,14940 | To empower girls through education and help them attend school regularly. | 0.9017
,,,,,,6715 | To promote equality in education for both sons and daughters | 0.7244
,,,,,,6971 | To empower girls through education by discussing the importance of education and available schemes with parents and community members | 0.8817
,,,,,,7482 | To raise awareness and campaign against the harm caused by drug addiction | 0.3872
,,,,,,29226 | To provide girls with access to education and empower them to pursue their goals | 0.9368
,,,,,,8495 | To empower girls through education and improve their social status | 0.931
,,,,,,29227 | To empower girls through education and help them achieve their goals | 0.9596
,,,,,,15049 | To support underprivileged girls in continuing their education by addressing financial constraints and providing motivation | 0.7498
,,,,,,15115 | To empower girls through education and increase their respect in society | 0.9317
,,,,,,15117 | To educate girls and make them aware of their rights | 0.8281
,,,,,,15146 | To empower girls through education and reduce the number of school-deprived teenagers | 0.8785
,,,,,,15186 | To empower girls through education and raise awareness about its importance in the community | 0.9296
,,,,,,15216 | To empower girls through education | 0.9567
,,,,,,"15229 | To empower girls in the community by providing them with access to education and training, and to help them become leaders and role models for others | 0.9001"
,,,,,,15488 | To empower teenage girls through education and make them aware of its importance | 0.9217
,,,,,,3995 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,15161 | To empower girls through education and make them aware of the government schemes they are deprived of | 0.8889
,,,,,,15235 | To address the issue of incorrect names on official documents and promote girls' education in the community. | 0.5726
,,,,,,15242 | To ensure equal rights to education for boys and girls | 0.7153
,,,,,,22670 | To improve education for poor girls by providing them with proper food and clothes | 0.804
,,,,,,23308 | To educate adolescent girls and make them aware of their rights and responsibilities | 0.8329
,,,,,,25421 | To empower girls by educating them and making their parents aware of the importance of education | 0.9454
,,,,,,20578 | To educate girls and bring about positive change in society | 0.8768
,,,,,,16549 | To empower girls through education by raising awareness among parents about the importance of education and providing government scholarships for their studies | 0.8264
,,,,,,8190 | To raise awareness about gender-based violence and safety in the community | 0.5264
,,,,,,15366 | To empower girls through education and improve their overall well-being | 0.9024
,,,,,,16568 | To empower girls through education by making parents aware of its importance | 0.9143
,,,,,,"5039 | The objective of the project was to increase girls enrollment and attendance in school, and to change parental attitudes towards girls education. | 0.7547"
,,,,,,28817 | To help a girl attend school with community support | 0.6498
,,,,,,16405 | To empower girls through education and increase awareness about the importance of education for girls | 0.9391
,,,,,,16328 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,21541 | To provide equal education to girls and boys | 0.7665
,,,,,,4204 | To promote girls education and empower them to become strong women | 0.9145
,,,,,,3931 | To empower girls through education and make them aware of the government facilities available for them | 0.8999
,,,,,,4073 | To empower Muslim girls through education and increase their participation in schools | 0.7942
,,,,,,4018 | To promote education and empower girl children to stand on their own feet | 0.7618
,,,,,,4012 | To help a girl attend school and overcome poverty and drug addiction | 0.6643
,,,,,,16142 | To promote education for daughters and empower them to achieve their goals | 0.8518
,,,,,,5072 | To empower girls by providing them with the opportunity to attend school and receive an education | 0.945
,,,,,,4983 | To empower girls through education and change the mindset of parents | 0.874
,,,,,,3845 | To empower girls through education and gain support from their families and community. | 0.9301
,,,,,,4049 | To empower girls through education and boost their morale | 0.9118
,,,,,,3991 | To empower girls through education by motivating their parents to send them to school regularly | 0.9064
,,,,,,15061 | To empower girls through education | 0.9567
,,,,,,3971 | To empower girls through education by raising awareness about the importance of education and providing support for enrollment | 0.917
,,,,,,15504 | To promote girls' education and equality | 0.8733
,,,,,,4164 | To empower girls through education and overcome societal barriers | 0.9171
,,,,,,4194 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,15330 | To empower girls through education by providing them with access to free education and facilities | 0.896
,,,,,,4139 | To empower girls through education and increase their participation in schools | 0.9454
,,,,,,4054 | To empower girls through education and increase their enrollment in schools | 0.9437
,,,,,,3887 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,4095 | To empower girls through education and increase awareness about its importance | 0.953
,,,,,,6679 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,15492 | To promote education for daughters in the community and empower them through knowledge | 0.8308
,,,,,,15505 | To empower girls through education by providing them with the necessary resources and support | 0.9589
,,,,,,"13932 | To provide tuition for children in Pillahalli, Mysuru, Karnataka, by leveraging the resources of the education center and the collective efforts of women from the community. | 0.5844"
,,,,,,13892 | To educate the community about the dangers of smoking and promote a drug-free lifestyle through awareness campaigns and programs. | 0.4083
,,,,,,15606 | To empower girls through education and help them stand on their own feet | 0.8778
,,,,,,15828 | To empower girls through education and help them achieve their full potential | 0.9555
,,,,,,29025 | To empower girls through education and help them achieve their goals | 0.9596
,,,,,,"17785 | To educate girls and women in the community, especially those from poor backgrounds, and encourage them to pursue their dreams | 0.8084"
,,,,,,29110 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,4134 | To empower girls through education and improve their overall well-being | 0.9024
,,,,,,18916 | To promote girls' education | 0.89
,,,,,,16402 | To promote girls' education | 0.89
,,,,,,28890 | To empower tribal girls through education and sensitization of teachers | 0.693
,,,,,,3912 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,15245 | To empower girls through education and make them aware of their rights | 0.9266
,,,,,,12619 | To empower girls through education and create a better future for them | 0.9492
,,,,,,4160 | To empower girls through education | 0.9567
,,,,,,4104 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,15317 | To promote girls education and empower them through knowledge | 0.9286
,,,,,,"4158 | To create a safe space for adolescent girls to openly discuss their issues and rights, addressing the problem of lack of information and education. | 0.7144"
,,,,,,15320 | To promote girls' education and empower them through community engagement | 0.8637
,,,,,,4137 | To empower girls through education and improve their attendance in school | 0.897
,,,,,,15381 | To empower girls in the community by providing them with access to education | 0.941
,,,,,,19229 | To empower girls through education | 0.9567
,,,,,,15681 | To help girls stay in school despite financial difficulties | 0.6713
,,,,,,4237 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,4269 | To empower girls through education and create a brighter future for them | 0.9482
,,,,,,4279 | To educate girls about their rights and roles in society | 0.8658
,,,,,,5012 | To empower girls through education by changing parental attitudes and enrolling children in school | 0.8554
,,,,,,5349 | To empower girls in the community by providing them with access to education and job opportunities | 0.9034
,,,,,,14889 | To empower girls through education and overcome social and economic barriers | 0.8886
,,,,,,4596 | To connect girls to school for education and empower them | 0.9214
,,,,,,5031 | To shift parental attitudes that deprioritize girls' education | 0.7434
,,,,,,"15290 | To encourage the community to educate their children, especially girls, by highlighting the importance of education and the benefits of government schemes. | 0.7999"
,,,,,,4391 | To help a girl child who dropped out of school due to poverty and pressure from parents to continue her education | 0.6729
,,,,,,15338 | To empower girls through education by encouraging their parents to send them to school | 0.9051
,,,,,,13916 | To improve the health of the community by organizing medical camps and increasing awareness | 0.3444
,,,,,,20472 | To educate girls from poor families by informing their parents about government schemes and the importance of education | 0.7416
,,,,,,"16140 | To empower girls through education and make them aware of their goals, strategies, and life | 0.9375"
,,,,,,16038 | To educate teenage girls in Jagtipur Deeha who were not attending school due to household work and child labor | 0.6639
,,,,,,16703 | To empower girls through education and improve their future prospects | 0.9418
,,,,,,"13709 | To provide school bags to children who do not have them, thereby promoting education and empowering women in the community. | 0.6653"
,,,,,,16333 | To educate girls from poor financial backgrounds | 0.7299
,,,,,,10195 | The objective was to improve the mental safety of girls through education and awareness | 0.6581
,,,,,,28459 | To empower girls through education and help them overcome poverty | 0.9258
,,,,,,28467 | To empower girls through education and create a brighter future for them | 0.9482
,,,,,,29057 | To promote girls' education and provide equal opportunities for all | 0.8772
,,,,,,28478 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,29319 | To create a platform for adolescent girls in the community to empower them and bring about positive change | 0.7287
,,,,,,29417 | To encourage girls to pursue education and create a supportive community | 0.896
,,,,,,29462 | To empower girls through education and create a supportive community | 0.9446
,,,,,,4031 | To provide education to girls in the community and empower them | 0.9386
,,,,,,4110 | To educate girls and empower them to make a positive impact in their communities | 0.8923
,,,,,,15502 | To empower girls through education | 0.9567
,,,,,,30811 | To empower girls through education by helping them obtain necessary documents and enrolling them in school | 0.9358
,,,,,,40409 | To empower girls through education and make them aware of its importance | 0.965
,,,,,,40426 | To empower Neha and other girls in the community through education | 0.7704
,,,,,,40386 | To empower girls through education and motivate them to pursue their dreams | 0.9205
,,,,,,40483 | To empower girls through education and convince parents to enroll them in school | 0.9369
,,,,,,40499 | To empower girls through education by providing them with access to quality education and resources | 0.9292
,,,,,,33618 | To empower teenage girls through education and provide them with opportunities for a better future | 0.9156
,,,,,,32733 | To empower girls through education and support from their parents | 0.9287
,,,,,,40495 | To educate girls and make them aware of their rights | 0.8281
,,,,,,40208 | To empower girls through education and increase their enrollment in schools | 0.9437
,Enhancing School-Based Mental Health Services,"This theme encompasses initiatives aimed at bolstering mental health support within educational settings, specifically addressing the critical shortage of qualified mental health professionals. It focuses on advocating for and implementing strategies to increase the availability of counselors and psychologists to ensure the comprehensive mental health and well-being of students.","school mental health,student well-being,mental health specialists,counseling services,psychological support,advocacy",Draft,148,15201 | To improve mental health support in schools | 0.891
,,,,,,15789 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29175 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29176 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29177 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29074 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29075 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29076 | To address the lack of mental health specialists in schools | 0.959
,,,,,,29077 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29078 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28767 | To ensure the mental health and well-being of students by advocating for the appointment of counselors or psychologists in schools | 0.7823
,,,,,,28768 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.8886
,,,,,,29079 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29080 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28777 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28778 | To address the lack of mental health specialists in schools and provide support for students | 0.9949
,,,,,,29081 | To provide mental health support to students in schools by appointing counselors or psychologists | 0.8356
,,,,,,28780 | To improve mental health support in schools by hiring counselors or psychologists | 0.8046
,,,,,,29082 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15852 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28781 | To address the lack of mental health specialists in schools and provide support to children | 0.9666
,,,,,,28782 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29083 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28783 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28784 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,28788 | To address the lack of mental health specialists in schools and ensure the well-being of students | 0.9531
,,,,,,29084 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29085 | To address the lack of mental health specialists in schools | 0.959
,,,,,,29087 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,29088 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15710 | To address the lack of mental health specialists in schools and promote women's leadership in education | 0.761
,,,,,,15714 | To address the lack of mental health specialists in schools and provide support for students | 0.9949
,,,,,,15715 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15781 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15780 | To address the lack of mental health specialists in schools | 0.959
,,,,,,15847 | To raise awareness about the importance of mental health in schools and to advocate for the appointment of counselors or psychologists. | 0.7972
,,,,,,15858 | To ensure the mental health and well-being of students by having mental health specialists in schools | 0.8876
,,,,,,15854 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15875 | To improve mental health support in schools by appointing counselors or psychologists | 0.8057
,,,,,,15788 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15774 | To address the lack of mental health specialists in schools and provide support to students | 0.9955
,,,,,,15698 | To address the lack of mental health specialists in schools by petitioning the government for support | 0.8707
,,,,,,15705 | To address the lack of mental health specialists in schools by submitting a petition to the government and the Principal Secretary of the School Education and Literacy Department | 0.7551
,,,,,,15703 | To prioritize children's mental health | 0.6369
,,,,,,15707 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.9846
,,,,,,15711 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.8886
,,,,,,15716 | To improve mental health support for students by advocating for the appointment of counselors or psychologists in schools | 0.8075
